GameID,RoundID,ActionID,Street,PlayerID,PlayerName,ModelName,Temperature,Position,HoleCard1,HoleCard2,BoardCards,StackBefore,PotTotalBefore,BetToCall,ActionType,ActionAmount,AmountWon,FinalHandRank
17,1,1,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,BB,6s,5c,,990,15,0,DEALT_HOLE,0,0,
17,1,2,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,,BTN,6d,8d,,1000,15,0,DEALT_HOLE,0,0,
17,1,3,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,SB,2s,Qs,,995,15,0,DEALT_HOLE,0,0,
17,1,4,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,,SB,2s,Qs,,995,15,0,POST_SB,0,0,
17,1,5,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,,BB,6s,5c,,990,15,0,POST_BB,0,0,
17,1,6,Preflop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.75,BTN,6d,8d,,940,15,0,BET,50,0,
17,1,7,Preflop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.75,SB,2s,Qs,,940,75,0,CALL,55,0,
17,1,8,Preflop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.75,BB,6s,5c,,940,130,0,CALL,50,0,
17,1,9,Flop,,,,,,,,4h 6c Ac,0,180,0,DEALT_FLOP,0,0,
17,1,10,Flop,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.75,SB,2s,Qs,4h 6c Ac,940,180,0,CHECK,0,0,
17,1,11,Flop,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.75,BB,6s,5c,4h 6c Ac,940,180,0,CHECK,0,0,
17,1,12,Flop,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.75,BTN,6d,8d,4h 6c Ac,940,180,0,CHECK,0,0,
17,1,13,Turn,,,,,,,,4h 6c Ac 3s,0,180,0,DEALT_TURN,0,0,
17,1,14,Turn,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.75,SB,2s,Qs,4h 6c Ac 3s,940,180,0,CHECK,0,0,
17,1,15,Turn,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.75,BB,6s,5c,4h 6c Ac 3s,940,180,0,CHECK,0,0,
17,1,16,Turn,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.75,BTN,6d,8d,4h 6c Ac 3s,940,180,0,CHECK,0,0,
17,1,17,River,,,,,,,,4h 6c Ac 3s Jc,0,180,0,DEALT_RIVER,0,0,
17,1,18,River,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.75,SB,2s,Qs,4h 6c Ac 3s Jc,540,180,0,BET,400,0,
17,1,19,River,3,Qwen 2.5 7B,Qwen/Qwen2.5-7B-Instruct-Turbo,0.75,BB,6s,5c,4h 6c Ac 3s Jc,240,580,0,RAISE,300,0,
17,1,20,River,1,Mistral v0.3 7B,mistralai/Mistral-7B-Instruct-v0.3,0.75,BTN,6d,8d,4h 6c Ac 3s Jc,240,1280,0,CALL,700,0,
17,1,21,River,2,Llama 3.1 8B,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.75,SB,2s,Qs,4h 6c Ac 3s Jc,240,1980,0,CALL,300,0,
